#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG03713	8	4	Xu	REFSEQ hypothetical protein
VOG03714	108	108	Xu	REFSEQ hypothetical protein
VOG03715	5	5	Xu	REFSEQ hypothetical protein
VOG03716	13	13	Xu	REFSEQ hypothetical protein
VOG03717	39	39	Xu	REFSEQ hypothetical protein
VOG03718	5	5	Xu	REFSEQ hypothetical protein
VOG03719	9	9	Xu	REFSEQ hypothetical protein
VOG03720	10	10	Xu	REFSEQ hypothetical protein
VOG03721	25	25	Xu	REFSEQ head-tail adapter protein
VOG03722	28	28	Xu	REFSEQ hypothetical protein
VOG03723	8	8	Xu	REFSEQ Rha family regulatory protein
VOG03724	12	11	Xp	sp|P18378|K3_VACCW Protein K3
VOG03725	4	4	Xu	REFSEQ tail tape measure protein
VOG03726	20	20	Xu	REFSEQ hypothetical protein
VOG03727	19	19	Xu	REFSEQ DUF4222 domain-containing protein
VOG03728	4	4	Xu	REFSEQ hypothetical protein
VOG03729	3	3	Xu	REFSEQ hypothetical protein
VOG03730	16	9	Xu	REFSEQ hypothetical protein
VOG03731	34	32	Xu	REFSEQ hypothetical protein
VOG03732	32	32	Xu	REFSEQ hypothetical protein
VOG03733	7	7	Xu	sp|P10304|V193_BPT3 Gene 19.3 protein
VOG03734	4	4	Xu	REFSEQ hypothetical protein
VOG03735	15	12	Xu	REFSEQ hypothetical protein
VOG03736	8	7	Xu	REFSEQ DUF1076 domain-containing protein
VOG03737	3	3	Xu	REFSEQ hypothetical protein
VOG03738	11	8	Xu	REFSEQ hypothetical protein
VOG03739	6	6	Xu	REFSEQ hypothetical protein
VOG03740	34	34	Xu	REFSEQ hypothetical protein
VOG03741	9	4	Xu	REFSEQ hypothetical protein
VOG03742	14	13	Xu	REFSEQ hypothetical protein
VOG03743	25	25	Xu	REFSEQ hypothetical protein
VOG03744	35	32	Xu	REFSEQ hypothetical protein
VOG03745	4	3	Xu	sp|P33227|STFE_ECOLI Putative uncharacterized protein StfE
VOG03746	51	51	Xu	REFSEQ hypothetical protein
VOG03747	23	23	Xu	REFSEQ hypothetical protein
VOG03748	7	6	Xu	REFSEQ hypothetical protein
VOG03749	12	12	Xh	sp|A0A0H3KHN8|ETXA_STAAE Enterotoxin type A
VOG03750	7	5	Xu	REFSEQ hypothetical protein
VOG03751	3	3	Xh	sp|A8W995|UXP_ADE05 U exon protein
VOG03752	8	7	Xu	REFSEQ hypothetical protein
VOG03753	8	8	Xu	REFSEQ hypothetical protein
VOG03754	6	6	XhXpXs	sp|P16139|CAP6_ADE41 Pre-protein VI
VOG03755	4	4	Xu	REFSEQ hypothetical protein
VOG03756	3	3	Xu	REFSEQ hypothetical protein
VOG03757	16	16	Xu	REFSEQ hypothetical protein
VOG03758	5	3	Xu	REFSEQ hypothetical protein
VOG03759	5	3	Xu	REFSEQ hypothetical protein
VOG03760	6	6	Xu	REFSEQ hypothetical protein
VOG03761	10	10	Xu	REFSEQ hypothetical protein
VOG03762	17	17	Xu	sp|P20200|A82_SSV1 Uncharacterized protein A-82
VOG03763	10	10	Xu	REFSEQ hypothetical protein
VOG03764	48	25	Xu	REFSEQ tail assembly chaperone
VOG03765	3	3	Xu	REFSEQ hypothetical protein
VOG03766	20	14	Xu	REFSEQ hypothetical protein
VOG03767	16	16	Xu	REFSEQ hypothetical protein
VOG03768	3	3	Xu	REFSEQ hypothetical protein
VOG03769	35	30	Xu	REFSEQ hypothetical protein
VOG03770	8	3	Xu	REFSEQ hypothetical protein
VOG03771	4	4	Xu	sp|P63203|GADW_SHIFL HTH-type transcriptional regulator GadW
VOG03772	5	5	Xu	REFSEQ hypothetical protein
VOG03773	28	28	Xu	REFSEQ hypothetical protein
VOG03774	5	5	Xu	REFSEQ hypothetical protein
VOG03775	6	6	Xu	REFSEQ hypothetical protein
VOG03776	28	16	Xu	REFSEQ hypothetical protein
VOG03777	6	6	Xu	REFSEQ hypothetical protein
VOG03778	13	7	Xu	REFSEQ tail assembly chaperone
VOG03779	6	6	Xu	REFSEQ hypothetical protein
VOG03780	8	4	Xu	REFSEQ hypothetical protein
VOG03781	8	8	Xu	REFSEQ hypothetical protein
VOG03782	18	16	Xu	REFSEQ hypothetical protein
VOG03783	5	5	Xu	REFSEQ hypothetical protein
VOG03784	15	15	Xu	REFSEQ excisionase family protein
VOG03785	8	8	Xu	REFSEQ hypothetical protein
VOG03786	3	3	Xu	REFSEQ hypothetical protein
VOG03787	4	4	Xh	sp|P06496|E312_ADE05 Early E3A 12.5 kDa protein
VOG03788	4	4	Xs	sp|Q38580|SCAF_BPSPP Capsid assembly scaffolding protein
VOG03789	5	4	Xu	REFSEQ hypothetical protein
VOG03790	9	5	Xu	REFSEQ hypothetical protein
VOG03791	4	3	Xu	REFSEQ hypothetical protein
VOG03792	8	8	Xu	REFSEQ hypothetical protein
VOG03793	13	9	XhXp	sp|P08393|ICP0_HHV11 E3 ubiquitin-protein ligase ICP0
VOG03794	12	4	Xu	REFSEQ hypothetical protein
VOG03795	7	4	Xu	REFSEQ hypothetical protein
VOG03796	10	10	Xu	REFSEQ hypothetical protein
VOG03797	12	10	Xu	REFSEQ hypothetical protein
VOG03798	5	5	Xu	REFSEQ hypothetical protein
VOG03799	19	19	Xu	REFSEQ hypothetical protein
VOG03800	6	6	Xu	REFSEQ hypothetical protein
VOG03801	11	8	Xu	REFSEQ hypothetical protein
VOG03802	5	5	Xu	REFSEQ hypothetical protein
VOG03803	7	7	Xu	REFSEQ hypothetical protein
VOG03804	4	4	Xu	REFSEQ hypothetical protein
VOG03805	12	12	Xu	REFSEQ hypothetical protein
VOG03806	8	4	Xu	REFSEQ hypothetical protein
VOG03807	11	7	Xu	REFSEQ hypothetical protein
VOG03808	6	3	Xu	REFSEQ tail assembly chaperone
VOG03809	7	7	Xu	REFSEQ hypothetical protein
VOG03810	20	20	Xu	REFSEQ hypothetical protein
VOG03811	4	4	Xu	REFSEQ hypothetical protein
VOG03812	8	6	Xu	REFSEQ hypothetical protein
VOG03813	5	5	Xu	REFSEQ hypothetical protein
VOG03814	8	7	Xu	REFSEQ hypothetical protein
VOG03815	14	14	Xu	REFSEQ hypothetical protein
VOG03816	7	3	Xu	REFSEQ hypothetical protein
VOG03817	6	6	Xu	REFSEQ hypothetical protein
VOG03818	5	5	Xu	REFSEQ hypothetical protein
VOG03819	21	21	Xu	REFSEQ hypothetical protein
VOG03820	3	3	Xu	REFSEQ hypothetical phage protein (Radical SAM family)
VOG03821	3	3	Xu	REFSEQ hypothetical protein
VOG03822	12	6	Xu	REFSEQ structural protein
VOG03823	11	11	Xu	REFSEQ hypothetical protein
VOG03824	49	49	Xu	sp|Q7CPS1|YGIB_SALTY UPF0441 protein YgiB
VOG03825	14	14	Xu	REFSEQ hypothetical protein
VOG03826	11	11	Xu	REFSEQ P27 family terminase small subunit
VOG03827	28	28	Xu	REFSEQ hypothetical protein
VOG03828	4	4	Xu	REFSEQ hypothetical protein
VOG03829	8	8	XhXpXrXs	sp|P19110|POLG_JAEV5 Genome polyprotein
VOG03830	6	3	Xu	REFSEQ hypothetical protein
VOG03831	4	4	Xs	sp|P03281|CAP9_ADE05 Hexon-interlacing protein
VOG03832	4	3	Xu	REFSEQ hypothetical protein
VOG03833	11	11	Xu	REFSEQ putative terminase small subunit
VOG03834	7	7	Xu	REFSEQ hypothetical protein
VOG03835	12	12	Xu	REFSEQ hypothetical protein
VOG03836	18	18	Xu	REFSEQ hypothetical protein
VOG03837	11	11	Xu	REFSEQ hypothetical protein
VOG03838	16	16	Xu	REFSEQ hypothetical protein
VOG03839	12	12	Xu	REFSEQ putative ATP-dependent DNA helicase
VOG03840	6	6	Xu	REFSEQ hypothetical protein
VOG03841	4	4	Xu	REFSEQ hypothetical protein
VOG03842	4	4	Xu	REFSEQ hypothetical protein
VOG03843	36	36	Xu	REFSEQ hypothetical protein
VOG03844	6	6	Xu	REFSEQ hypothetical protein
VOG03845	14	14	Xu	REFSEQ hypothetical protein
VOG03846	4	4	Xu	REFSEQ hypothetical protein
VOG03847	3	3	Xu	REFSEQ hypothetical protein
VOG03848	3	3	Xu	REFSEQ hypothetical protein
VOG03849	12	12	Xu	REFSEQ hypothetical protein
VOG03850	12	12	Xu	REFSEQ minor tail protein
VOG03851	34	34	Xu	REFSEQ hypothetical protein
VOG03852	5	5	Xu	REFSEQ hypothetical protein
VOG03853	3	3	Xu	REFSEQ endolysin
VOG03854	5	5	Xu	REFSEQ hypothetical protein
VOG03855	14	14	Xu	REFSEQ DUF1627 domain-containing protein
VOG03856	5	3	Xu	REFSEQ hypothetical protein
VOG03857	12	12	Xu	REFSEQ hypothetical protein
VOG03858	12	12	Xu	REFSEQ hypothetical protein
VOG03859	3	3	Xu	REFSEQ hypothetical protein
VOG03860	4	4	Xu	REFSEQ hypothetical protein
VOG03861	3	3	Xu	REFSEQ hypothetical protein
VOG03862	7	6	Xu	REFSEQ hypothetical protein
VOG03863	10	10	Xu	REFSEQ hypothetical protein
VOG03864	4	4	Xu	REFSEQ hypothetical protein
VOG03865	12	12	Xu	REFSEQ hypothetical protein
VOG03866	10	10	Xu	REFSEQ hypothetical protein
VOG03867	11	11	Xu	REFSEQ hypothetical protein
VOG03868	6	6	Xu	REFSEQ hypothetical protein
VOG03869	20	20	Xu	REFSEQ hypothetical protein
VOG03870	59	59	Xu	REFSEQ hypothetical protein
VOG03871	60	59	Xu	REFSEQ hypothetical protein
VOG03872	70	70	Xu	REFSEQ hypothetical protein
VOG03873	8	8	Xu	REFSEQ hypothetical protein
VOG03874	30	30	Xu	REFSEQ hypothetical protein
VOG03875	26	25	Xu	REFSEQ DUF2513 domain-containing protein
VOG03876	6	6	Xu	REFSEQ hypothetical protein
VOG03877	38	38	Xu	REFSEQ hypothetical protein
VOG03878	8	8	Xu	REFSEQ hypothetical protein
VOG03879	4	4	Xu	REFSEQ putative tail fiber protein
VOG03880	84	70	Xu	REFSEQ hypothetical protein
VOG03881	3	3	Xu	REFSEQ tail fibers protein
VOG03882	13	13	Xu	REFSEQ hypothetical protein
VOG03883	7	7	Xu	REFSEQ hypothetical protein
VOG03884	50	50	Xu	REFSEQ hypothetical protein
VOG03885	17	12	Xu	REFSEQ hypothetical protein
VOG03886	5	4	Xu	REFSEQ hypothetical protein
VOG03887	7	7	Xu	REFSEQ hypothetical protein
VOG03888	6	6	Xu	REFSEQ hypothetical protein
VOG03889	4	4	Xu	REFSEQ hypothetical protein
VOG03890	10	10	Xu	REFSEQ hypothetical protein
VOG03891	4	4	Xu	REFSEQ hypothetical protein
VOG03892	5	5	Xu	REFSEQ hypothetical protein
VOG03893	6	6	Xu	REFSEQ hypothetical protein
VOG03894	20	20	Xu	REFSEQ hypothetical protein
VOG03895	3	3	Xu	REFSEQ hypothetical protein
VOG03896	13	13	Xu	REFSEQ hypothetical protein
VOG03897	3	3	Xu	REFSEQ hypothetical protein
VOG03898	26	16	Xu	REFSEQ hypothetical protein
VOG03899	7	7	Xu	REFSEQ hypothetical protein
VOG03900	4	4	Xu	REFSEQ hypothetical protein
VOG03901	5	5	Xu	REFSEQ hypothetical protein
VOG03902	4	4	Xu	REFSEQ hypothetical protein
VOG03903	3	3	Xu	REFSEQ gp12
VOG03904	6	6	Xu	REFSEQ Fur-regulated basic protein FbpA
VOG03905	8	8	Xu	REFSEQ hypothetical protein
VOG03906	6	6	Xu	REFSEQ hypothetical protein
VOG03907	13	13	Xu	REFSEQ hypothetical protein
VOG03908	8	8	Xu	REFSEQ hypothetical protein
VOG03909	5	5	Xu	REFSEQ hypothetical protein
VOG03910	10	10	Xu	REFSEQ hypothetical protein
VOG03911	6	6	Xu	REFSEQ hypothetical protein
VOG03912	21	21	Xr	sp|C5D324|RECU_GEOSW Holliday junction resolvase RecU
VOG03913	11	11	Xu	REFSEQ hypothetical protein
VOG03914	10	10	Xu	REFSEQ hypothetical protein
VOG03915	4	4	Xu	REFSEQ hypothetical protein
VOG03916	53	47	Xu	REFSEQ hypothetical protein
VOG03917	14	14	Xu	REFSEQ hypothetical protein
VOG03918	41	41	Xu	REFSEQ hypothetical protein
VOG03919	19	19	Xu	sp|Q4L7V3|MAZF_STAHJ Endoribonuclease MazF
VOG03920	4	4	Xu	REFSEQ hypothetical protein
VOG03921	20	20	Xu	REFSEQ hypothetical protein
VOG03922	5	5	Xu	REFSEQ TerL
VOG03923	7	7	Xu	REFSEQ hypothetical protein
VOG03924	8	8	Xu	REFSEQ hypothetical protein
VOG03925	4	4	Xu	REFSEQ tape measure protein
VOG03926	7	7	Xu	REFSEQ hypothetical protein
VOG03927	4	4	Xr	sp|A4THT0|RS21_YERPP 30S ribosomal protein S21
VOG03928	3	3	Xs	sp|P51731|TMP_BPHC1 Probable tape measure protein
VOG03929	3	3	Xu	REFSEQ hypothetical protein
VOG03930	28	28	Xu	REFSEQ hypothetical protein
VOG03931	16	16	Xu	REFSEQ hypothetical protein
VOG03932	59	59	Xu	REFSEQ hypothetical protein
VOG03933	21	21	Xu	REFSEQ hypothetical protein
VOG03934	8	8	Xu	REFSEQ hypothetical protein
VOG03935	42	42	XhXs	sp|Q9T1W1|CAPSD_BPMU Major capsid protein
VOG03936	5	5	Xu	REFSEQ hypothetical protein
VOG03937	4	4	Xu	REFSEQ hypothetical protein
VOG03938	5	5	Xu	REFSEQ hypothetical protein
VOG03939	4	3	Xu	REFSEQ HNH endonuclease
VOG03940	18	17	Xu	REFSEQ hypothetical protein
VOG03941	12	9	Xu	REFSEQ hypothetical protein
VOG03942	4	4	Xu	REFSEQ hypothetical protein
VOG03943	12	12	Xu	REFSEQ hypothetical protein
VOG03944	4	4	Xu	REFSEQ tape measure protein
VOG03945	4	4	Xu	REFSEQ hypothetical protein
VOG03946	73	73	Xu	REFSEQ hypothetical protein
VOG03947	8	6	Xu	REFSEQ hypothetical protein
VOG03948	3	3	Xu	REFSEQ hypothetical protein
VOG03949	14	14	Xu	REFSEQ hypothetical protein
VOG03950	66	66	Xu	REFSEQ hypothetical protein
VOG03951	4	4	Xu	REFSEQ hypothetical protein
VOG03952	29	29	Xu	sp|P45930|YQBN_BACSU Uncharacterized protein YqbN
VOG03953	8	8	Xu	REFSEQ hypothetical protein
VOG03954	8	8	Xu	REFSEQ hypothetical protein
VOG03955	3	3	Xu	REFSEQ hypothetical protein
VOG03956	8	8	Xu	REFSEQ hypothetical protein
VOG03957	3	3	Xu	REFSEQ hypothetical protein
VOG03958	45	45	Xu	REFSEQ hypothetical protein
VOG03959	15	15	Xu	REFSEQ hypothetical protein
VOG03960	3	3	Xu	REFSEQ HNH endonuclease
VOG03961	14	14	Xu	REFSEQ hydrolase
VOG03962	10	10	Xu	REFSEQ hypothetical protein
VOG03963	18	18	Xu	REFSEQ hypothetical protein
VOG03964	3	3	Xu	REFSEQ hypothetical protein
VOG03965	4	4	Xu	REFSEQ hypothetical protein
VOG03966	16	16	Xu	REFSEQ hypothetical protein
VOG03967	9	9	Xu	REFSEQ hypothetical protein
VOG03968	20	19	Xu	REFSEQ hypothetical protein
VOG03969	15	15	Xu	REFSEQ hypothetical protein
VOG03970	14	14	Xu	REFSEQ hypothetical protein
VOG03971	14	13	Xu	REFSEQ hypothetical protein
VOG03972	8	8	Xu	REFSEQ hypothetical protein
VOG03973	12	12	Xu	REFSEQ endonuclease
VOG03974	6	6	Xu	REFSEQ hypothetical protein
VOG03975	12	12	Xu	REFSEQ hypothetical protein
VOG03976	7	7	Xu	REFSEQ hypothetical protein
VOG03977	31	31	Xu	REFSEQ putative HD domain protein
VOG03978	5	5	Xu	REFSEQ hypothetical protein
VOG03979	13	13	Xu	REFSEQ hypothetical protein
VOG03980	6	6	Xu	REFSEQ hypothetical protein
VOG03981	4	4	Xu	REFSEQ hypothetical protein
VOG03982	9	8	Xu	REFSEQ hypothetical protein
VOG03983	14	14	Xu	REFSEQ hypothetical protein
VOG03984	42	42	Xu	REFSEQ hypothetical protein
VOG03985	6	6	Xu	REFSEQ hypothetical protein
VOG03986	6	6	Xu	REFSEQ hypothetical protein
VOG03987	5	5	Xu	REFSEQ hypothetical protein
VOG03988	40	40	Xu	REFSEQ hypothetical protein
VOG03989	6	6	Xu	REFSEQ hypothetical protein
VOG03990	6	6	Xu	REFSEQ hypothetical protein
VOG03991	4	4	Xu	REFSEQ hypothetical protein
VOG03992	5	5	Xu	REFSEQ minor tail protein
VOG03993	3	3	Xu	REFSEQ hypothetical protein
VOG03994	9	6	Xu	REFSEQ hypothetical protein
VOG03995	5	5	Xu	REFSEQ hypothetical protein
VOG03996	11	10	Xu	REFSEQ putative holin-like toxin
VOG03997	4	4	Xu	REFSEQ hypothetical protein
VOG03998	4	4	Xu	REFSEQ hypothetical protein
VOG03999	7	7	Xu	REFSEQ hypothetical protein
VOG04000	15	15	Xu	REFSEQ hypothetical protein
VOG04001	98	98	Xu	REFSEQ hypothetical protein
VOG04002	16	16	Xu	REFSEQ hypothetical protein
VOG04003	3	3	Xu	REFSEQ hypothetical protein
VOG04004	6	6	Xu	REFSEQ hypothetical protein
VOG04005	12	12	Xu	REFSEQ hypothetical protein
VOG04006	3	3	Xu	REFSEQ tail tubular protein
VOG04007	8	8	Xu	REFSEQ hypothetical protein
VOG04008	6	4	Xu	REFSEQ hypothetical protein
VOG04009	5	5	Xu	REFSEQ hypothetical protein
VOG04010	3	3	Xu	REFSEQ hypothetical protein
VOG04011	32	32	Xu	REFSEQ hypothetical protein
VOG04012	14	13	Xu	REFSEQ hypothetical protein
VOG04013	42	41	Xh	sp|Q9G050|REP_BPPHM Replication-associated protein VP4
VOG04014	6	6	Xu	REFSEQ hypothetical protein
VOG04015	59	59	Xu	REFSEQ hypothetical protein
VOG04016	4	4	Xu	REFSEQ hypothetical protein
VOG04017	8	7	Xh	sp|P39695|COMEC_BACSU ComE operon protein 3
VOG04018	15	15	Xu	REFSEQ hypothetical protein
VOG04019	9	9	Xu	REFSEQ hypothetical protein
VOG04020	7	6	Xu	REFSEQ hypothetical protein
VOG04021	3	3	Xu	REFSEQ hypothetical protein
VOG04022	5	5	Xu	REFSEQ hypothetical protein
VOG04023	4	4	Xu	REFSEQ hypothetical protein
VOG04024	12	12	Xu	REFSEQ hypothetical protein
VOG04025	7	7	Xu	REFSEQ hypothetical protein
VOG04026	5	5	Xu	REFSEQ hypothetical protein
VOG04027	80	80	Xu	REFSEQ hypothetical protein
VOG04028	4	4	Xu	REFSEQ hypothetical protein
VOG04029	14	14	Xu	REFSEQ hypothetical protein
VOG04030	12	12	Xu	REFSEQ hypothetical protein
VOG04031	31	31	Xu	REFSEQ hypothetical protein
VOG04032	6	6	Xu	REFSEQ hypothetical protein
VOG04033	50	50	Xu	REFSEQ hypothetical protein
VOG04034	5	5	Xu	REFSEQ hypothetical protein
VOG04035	4	2	Xu	REFSEQ hypothetical protein
VOG04036	4	4	Xu	REFSEQ hypothetical protein
VOG04037	5	4	Xu	REFSEQ hypothetical protein
VOG04038	6	6	Xu	REFSEQ hypothetical protein
VOG04039	16	16	Xu	REFSEQ hypothetical protein
VOG04040	4	4	Xu	REFSEQ hypothetical protein
VOG04041	4	4	XpXs	sp|P15076|DNAPR_BPT4 Terminal DNA protecting protein
VOG04042	19	19	Xu	REFSEQ hypothetical protein
VOG04043	8	8	Xu	REFSEQ hypothetical protein
VOG04044	14	14	Xu	REFSEQ hypothetical protein
VOG04045	17	17	Xu	REFSEQ hypothetical protein
VOG04046	7	7	Xu	REFSEQ hypothetical protein
VOG04047	11	11	Xu	REFSEQ nucleoside triphosphate pyrophosphohydrolase family protein
VOG04048	53	53	Xu	REFSEQ hypothetical protein
VOG04049	5	5	Xu	REFSEQ hypothetical protein
VOG04050	14	14	Xu	REFSEQ hypothetical protein
VOG04051	6	6	Xu	REFSEQ hypothetical protein
VOG04052	19	19	Xu	REFSEQ hypothetical protein
VOG04053	4	3	Xu	REFSEQ hypothetical protein
VOG04054	4	4	Xu	REFSEQ hypothetical protein
VOG04055	6	6	Xu	REFSEQ hypothetical protein
VOG04056	30	30	Xu	REFSEQ hypothetical protein
VOG04057	53	52	Xu	REFSEQ hypothetical protein
VOG04058	14	14	Xu	REFSEQ hypothetical protein
VOG04059	4	4	Xu	REFSEQ hypothetical protein
VOG04060	11	11	Xu	REFSEQ tail fibers protein
VOG04061	11	11	Xu	REFSEQ hypothetical protein
VOG04062	9	9	Xu	REFSEQ hypothetical protein
VOG04063	6	6	Xu	REFSEQ hypothetical protein
VOG04064	12	12	Xu	REFSEQ hypothetical protein
VOG04065	4	4	Xu	REFSEQ hypothetical protein
VOG04066	13	13	Xu	REFSEQ structural protein
VOG04067	4	4	Xu	REFSEQ hypothetical protein
VOG04068	7	7	Xu	REFSEQ hypothetical protein
VOG04069	3	3	Xu	sp|O31918|YOQU_BACSU SPbeta prophage-derived uncharacterized protein YoqU
VOG04070	5	5	Xu	REFSEQ hypothetical protein
VOG04071	3	3	Xu	REFSEQ hypothetical protein
VOG04072	22	22	Xu	REFSEQ hypothetical protein
VOG04073	8	8	Xu	REFSEQ hypothetical protein
VOG04074	7	7	Xu	REFSEQ hypothetical protein
VOG04075	5	4	Xu	REFSEQ hypothetical protein
VOG04076	10	10	Xu	REFSEQ hypothetical protein
VOG04077	4	4	Xu	REFSEQ 2'-5' RNA ligase
VOG04078	9	9	Xu	REFSEQ hypothetical protein
VOG04079	12	12	Xu	REFSEQ hypothetical protein
VOG04080	6	6	Xu	REFSEQ hypothetical protein
VOG04081	7	7	Xu	REFSEQ hypothetical protein
VOG04082	12	12	Xu	REFSEQ hypothetical protein
VOG04083	74	66	Xu	REFSEQ hypothetical protein
VOG04084	4	4	Xu	REFSEQ hypothetical protein
VOG04085	3	3	Xu	REFSEQ hypothetical protein
VOG04086	8	8	Xu	REFSEQ hypothetical protein
VOG04087	4	4	Xu	REFSEQ hypothetical protein
VOG04088	6	6	Xu	REFSEQ hypothetical protein
VOG04089	12	12	Xu	REFSEQ hypothetical protein
VOG04090	14	14	Xu	REFSEQ hypothetical protein
VOG04091	8	8	Xu	REFSEQ hypothetical protein
VOG04092	6	6	Xu	REFSEQ hypothetical protein
VOG04093	7	7	Xu	REFSEQ hypothetical protein
VOG04094	4	4	Xu	REFSEQ hypothetical protein
VOG04095	3	3	Xu	REFSEQ hypothetical protein
VOG04096	12	12	Xu	REFSEQ hypothetical protein
VOG04097	5	5	Xu	REFSEQ hypothetical protein
VOG04098	4	4	Xu	REFSEQ hypothetical protein
VOG04099	3	3	Xu	REFSEQ hypothetical protein
VOG04100	30	30	Xu	REFSEQ hypothetical protein
VOG04101	5	5	Xu	REFSEQ hypothetical protein
VOG04102	5	5	Xu	REFSEQ hypothetical protein
VOG04103	3	3	Xu	REFSEQ hypothetical protein
VOG04104	5	5	Xu	REFSEQ hypothetical protein
VOG04105	22	22	Xu	REFSEQ hypothetical protein
VOG04106	3	3	Xu	REFSEQ hypothetical protein
VOG04107	3	3	Xu	REFSEQ hypothetical protein
VOG04108	4	4	Xu	REFSEQ hypothetical protein
VOG04109	4	4	Xu	REFSEQ hypothetical protein
VOG04110	10	6	Xu	REFSEQ HNH endonuclease domain protein
VOG04111	3	3	Xu	REFSEQ hypothetical protein
VOG04112	5	5	Xu	REFSEQ hypothetical protein
VOG04113	3	3	Xu	REFSEQ hypothetical protein
VOG04114	5	5	Xu	REFSEQ hypothetical protein
VOG04115	4	4	Xu	REFSEQ hypothetical protein
VOG04116	61	61	Xu	REFSEQ hypothetical protein
VOG04117	26	26	Xu	REFSEQ hypothetical protein
VOG04118	25	25	Xu	REFSEQ hypothetical protein
VOG04119	4	4	Xu	REFSEQ hypothetical protein
VOG04120	19	19	Xu	REFSEQ hypothetical protein
VOG04121	8	8	Xu	REFSEQ hypothetical protein
VOG04122	21	11	Xu	REFSEQ BlaI/MecI/CopY family transcriptional regulator
VOG04123	5	5	Xu	REFSEQ tailspike protein
VOG04124	3	3	Xu	REFSEQ hypothetical protein
VOG04125	5	5	Xu	REFSEQ hypothetical protein
VOG04126	4	4	Xu	REFSEQ hypothetical protein
VOG04127	6	6	Xu	REFSEQ hypothetical protein
VOG04128	6	6	Xu	REFSEQ hypothetical protein
VOG04129	4	4	Xu	REFSEQ hypothetical protein
VOG04130	61	61	Xu	REFSEQ hypothetical protein
VOG04131	8	8	Xu	REFSEQ hypothetical protein
VOG04132	10	10	Xu	REFSEQ hypothetical protein
VOG04133	3	3	Xu	REFSEQ hypothetical protein
VOG04134	3	3	Xu	REFSEQ hypothetical protein
VOG04135	5	4	Xu	REFSEQ hypothetical protein
VOG04136	38	37	Xh	sp|Q7U4L7|SPEH_SYNPX S-adenosylmethionine decarboxylase proenzyme
VOG04137	12	12	Xu	REFSEQ hypothetical protein
VOG04138	12	12	Xu	REFSEQ hypothetical protein
VOG04139	7	7	Xu	REFSEQ hypothetical protein
VOG04140	13	13	Xu	REFSEQ hypothetical protein
VOG04141	5	5	Xu	REFSEQ hypothetical protein
VOG04142	72	72	Xu	REFSEQ hypothetical protein
VOG04143	13	13	Xu	REFSEQ hypothetical protein
VOG04144	20	20	Xu	REFSEQ hypothetical protein
VOG04145	3	3	Xu	REFSEQ hypothetical protein
VOG04146	11	6	Xu	REFSEQ hypothetical protein
VOG04147	4	4	Xu	REFSEQ hypothetical protein
VOG04148	21	19	Xu	REFSEQ hypothetical protein
VOG04149	4	4	Xu	REFSEQ CoA ligase
VOG04150	10	10	Xu	REFSEQ hypothetical protein
VOG04151	13	13	Xu	REFSEQ hypothetical protein
VOG04152	3	3	Xu	REFSEQ hypothetical protein
VOG04153	3	3	Xu	REFSEQ hypothetical protein
VOG04154	5	5	Xu	REFSEQ hypothetical protein
VOG04155	5	4	Xu	REFSEQ hypothetical protein
VOG04156	3	3	Xu	REFSEQ hypothetical protein
VOG04157	4	4	Xu	REFSEQ hypothetical protein
VOG04158	46	46	Xu	REFSEQ hypothetical protein
VOG04159	10	10	Xu	REFSEQ hypothetical protein
VOG04160	3	3	Xu	REFSEQ hypothetical protein
VOG04161	22	22	Xu	REFSEQ hypothetical protein
VOG04162	9	9	Xu	REFSEQ hypothetical protein
VOG04163	51	51	Xu	REFSEQ hypothetical protein
VOG04164	18	18	Xu	REFSEQ hypothetical protein
VOG04165	3	3	Xu	REFSEQ gp33
VOG04166	4	4	Xu	REFSEQ hypothetical protein
VOG04167	8	8	Xu	REFSEQ hypothetical protein
VOG04168	4	4	Xu	REFSEQ hypothetical protein
VOG04169	8	8	Xu	REFSEQ hypothetical protein
VOG04170	17	17	Xu	REFSEQ hypothetical protein
VOG04171	6	6	Xu	REFSEQ hypothetical protein
VOG04172	5	5	Xu	REFSEQ hypothetical protein
VOG04173	16	16	Xu	REFSEQ hypothetical protein
VOG04174	23	23	Xu	REFSEQ hypothetical protein
VOG04175	4	4	Xu	REFSEQ hypothetical protein
VOG04176	4	4	Xu	REFSEQ hypothetical protein
VOG04177	14	14	Xu	REFSEQ hypothetical protein
VOG04178	7	5	Xu	REFSEQ hypothetical protein
VOG04179	3	3	Xu	REFSEQ hypothetical protein
VOG04180	4	4	Xu	REFSEQ hypothetical protein
VOG04181	12	7	Xu	REFSEQ hypothetical protein
VOG04182	7	7	Xu	REFSEQ hypothetical protein
VOG04183	5	5	Xu	REFSEQ hypothetical protein
VOG04184	3	3	Xu	REFSEQ hypothetical protein
VOG04185	15	15	Xu	REFSEQ hypothetical protein
VOG04186	7	7	Xu	REFSEQ hypothetical protein
VOG04187	3	3	Xu	REFSEQ hypothetical protein
VOG04188	7	7	Xu	REFSEQ hypothetical protein
VOG04189	4	4	Xu	REFSEQ hypothetical protein
VOG04190	4	4	Xu	REFSEQ hypothetical protein
VOG04191	10	10	Xu	REFSEQ hypothetical protein
VOG04192	4	4	Xu	REFSEQ gp83
